date,channel,characters,posts,responses,reactions,attachments
2019-03-08,spanish-general,1839,18,2,3,0
2019-03-09,spanish-general,692,1,0,3,0
2019-03-10,spanish-general,356,1,1,2,0
2019-03-12,spanish-general,933,2,3,6,1
2019-03-13,spanish-general,1896,3,8,3,0
2019-03-14,spanish-general,944,0,9,1,0
2019-03-15,spanish-general,312,1,1,1,0
2019-03-16,spanish-general,901,1,6,1,0
2019-03-18,spanish-general,1593,1,4,4,1
2019-03-19,spanish-general,909,2,2,1,1
2019-03-20,spanish-general,1134,0,6,1,2
2019-03-21,spanish-general,377,0,3,2,1
2019-03-22,spanish-general,875,2,1,1,0
2019-03-24,spanish-general,1507,1,0,3,0
2019-03-25,spanish-general,928,2,3,1,1
2019-03-26,spanish-general,1928,1,6,2,1
2019-03-27,spanish-general,42,0,1,0,0
2019-04-01,spanish-general,159,1,0,0,0
2019-04-03,spanish-general,1498,1,6,1,0
2019-04-04,spanish-general,387,2,0,1,2
2019-04-05,spanish-general,446,0,4,0,0
2019-04-06,spanish-general,509,0,3,0,0
2019-03-02,topic-accessibility,1129,23,0,4,0
2019-03-03,topic-accessibility,1514,2,6,2,1
2019-03-04,topic-accessibility,1086,2,1,3,0
2019-03-05,topic-accessibility,245,1,0,2,1
2019-03-06,topic-accessibility,142,1,0,2,1
2019-03-07,topic-accessibility,1011,0,5,0,1
2019-03-08,topic-accessibility,1475,1,7,2,0
2019-03-09,topic-accessibility,518,0,2,3,0
2019-03-10,topic-accessibility,328,0,3,0,0
2019-03-12,topic-accessibility,4542,10,5,6,3
2019-03-13,topic-accessibility,1747,1,7,3,1
2019-03-21,topic-accessibility,35,1,0,0,0
2019-03-27,topic-accessibility,169,1,2,2,0
2019-03-28,topic-accessibility,3704,4,27,10,4
2019-03-29,topic-accessibility,916,0,2,1,1
2019-04-01,topic-accessibility,226,0,1,0,0
2019-04-02,topic-accessibility,2738,5,4,4,5
2019-04-03,topic-accessibility,579,1,1,0,0
2019-04-04,topic-accessibility,82,1,0,0,0
2019-04-06,topic-accessibility,1039,2,4,1,1
2019-03-02,topic-best-practices,2259,33,13,11,0
2019-03-03,topic-best-practices,3015,3,26,10,3
2019-03-04,topic-best-practices,2015,5,6,5,5
2019-03-05,topic-best-practices,2068,5,5,6,3
2019-03-06,topic-best-practices,1938,1,8,5,2
2019-03-07,topic-best-practices,3212,3,22,10,2
2019-03-08,topic-best-practices,10195,4,46,12,8
2019-03-09,topic-best-practices,7147,1,19,10,0
2019-03-10,topic-best-practices,5195,1,19,3,4
2019-03-11,topic-best-practices,747,0,4,1,1
2019-03-12,topic-best-practices,2557,3,7,6,3
2019-03-13,topic-best-practices,13428,2,32,15,3
2019-03-14,topic-best-practices,1462,2,5,4,3
2019-03-16,topic-best-practices,2662,2,19,4,3
2019-03-17,topic-best-practices,340,0,2,1,1
2019-03-18,topic-best-practices,991,1,4,1,0
2019-03-19,topic-best-practices,251,0,4,0,0
2019-03-20,topic-best-practices,357,1,4,2,1
2019-03-21,topic-best-practices,2950,0,13,6,0
2019-03-22,topic-best-practices,2975,2,11,10,2
2019-03-23,topic-best-practices,189,1,0,0,0
2019-03-24,topic-best-practices,281,0,3,0,0
2019-03-26,topic-best-practices,1348,3,7,3,1
2019-03-27,topic-best-practices,210,0,3,0,0
2019-03-29,topic-best-practices,491,0,6,2,0
2019-03-30,topic-best-practices,1774,2,6,9,0
2019-03-31,topic-best-practices,1293,0,5,4,1
2019-04-01,topic-best-practices,1870,1,3,0,0
2019-04-02,topic-best-practices,1838,0,10,7,2
2019-04-03,topic-best-practices,799,0,3,2,1
2019-04-04,topic-best-practices,367,2,1,2,2
2019-04-05,topic-best-practices,32,0,1,0,0
2019-04-07,topic-best-practices,645,2,1,3,0
2019-02-28,topic-career-advice,834,18,0,0,0
2019-03-01,topic-career-advice,569,5,2,2,0
2019-03-02,topic-career-advice,1219,3,6,7,2
2019-03-03,topic-career-advice,4320,4,17,10,2
2019-03-04,topic-career-advice,925,2,9,3,2
2019-03-05,topic-career-advice,4999,3,8,10,2
2019-03-06,topic-career-advice,2934,3,13,5,1
2019-03-07,topic-career-advice,442,0,3,0,0
2019-03-08,topic-career-advice,3462,1,11,8,0
2019-03-09,topic-career-advice,95,0,1,2,0
2019-03-10,topic-career-advice,321,0,3,1,1
2019-03-11,topic-career-advice,1124,2,6,9,3
2019-03-12,topic-career-advice,2376,1,6,0,0
2019-03-14,topic-career-advice,2355,2,5,2,2
2019-03-17,topic-career-advice,985,0,5,0,2
2019-03-23,topic-career-advice,1681,2,8,12,0
2019-03-24,topic-career-advice,317,0,2,1,0
2019-03-25,topic-career-advice,138,0,1,0,0
2019-03-30,topic-career-advice,148,0,1,1,0
2019-04-04,topic-career-advice,82,1,0,0,0
2019-03-07,topic-data-art,1063,24,0,3,1
2019-03-08,topic-data-art,11815,26,37,30,17
2019-03-09,topic-data-art,868,3,5,4,1
2019-03-10,topic-data-art,586,1,3,3,0
2019-03-11,topic-data-art,137,2,1,0,0
2019-03-12,topic-data-art,1950,3,9,8,2
2019-03-13,topic-data-art,806,1,6,4,2
2019-03-14,topic-data-art,211,1,3,2,0
2019-03-15,topic-data-art,1476,7,9,13,3
2019-03-16,topic-data-art,567,2,7,4,2
2019-03-17,topic-data-art,511,0,2,2,1
2019-03-18,topic-data-art,1640,2,1,2,1
2019-03-19,topic-data-art,3073,4,6,4,3
2019-03-20,topic-data-art,5974,7,16,6,3
2019-03-21,topic-data-art,4424,3,12,6,4
2019-03-22,topic-data-art,154,1,1,1,1
2019-03-23,topic-data-art,119,1,0,0,1
2019-03-24,topic-data-art,2450,2,5,10,1
2019-03-25,topic-data-art,1565,2,8,8,3
2019-03-27,topic-data-art,681,0,5,4,1
2019-03-28,topic-data-art,466,1,1,1,1
2019-03-29,topic-data-art,397,2,2,6,1
2019-03-31,topic-data-art,310,2,2,2,3
2019-04-01,topic-data-art,7,0,1,0,0
2019-04-03,topic-data-art,138,0,2,1,0
2019-04-04,topic-data-art,478,2,3,1,0
2019-04-05,topic-data-art,669,3,2,1,4
2019-04-06,topic-data-art,583,1,1,3,1
2019-03-02,topic-data-literacy,2805,26,2,5,0
2019-03-03,topic-data-literacy,1304,1,9,3,0
2019-03-04,topic-data-literacy,136,0,2,3,0
2019-03-05,topic-data-literacy,2470,3,10,9,2
2019-03-06,topic-data-literacy,315,1,1,3,1
2019-03-08,topic-data-literacy,2506,6,4,3,0
2019-03-09,topic-data-literacy,1564,0,4,4,0
2019-03-13,topic-data-literacy,633,1,2,0,0
2019-03-14,topic-data-literacy,397,1,2,2,0
2019-03-15,topic-data-literacy,903,1,3,1,0
2019-03-16,topic-data-literacy,691,1,2,0,0
2019-03-18,topic-data-literacy,2811,2,7,4,1
2019-03-19,topic-data-literacy,1795,0,6,3,1
2019-03-21,topic-data-literacy,1342,0,2,1,0
2019-03-27,topic-data-literacy,727,0,4,0,0
2019-04-04,topic-data-literacy,82,1,0,0,0
2019-04-04,topic-data-processing,601,14,0,0,0
2019-04-05,topic-data-processing,105,3,0,0,0
2019-04-06,topic-data-processing,35,1,0,0,0
2019-04-07,topic-data-processing,70,2,0,0,0
2019-03-05,topic-data-resources,822,21,0,1,0
2019-03-06,topic-data-resources,3172,5,9,9,2
2019-03-07,topic-data-resources,1768,3,2,2,2
2019-03-08,topic-data-resources,1254,0,1,1,0
2019-03-09,topic-data-resources,881,0,5,0,0
2019-03-10,topic-data-resources,2144,4,2,11,2
2019-03-11,topic-data-resources,466,1,4,1,4
2019-03-18,topic-data-resources,244,2,1,1,2
2019-03-19,topic-data-resources,335,1,2,0,0
2019-03-21,topic-data-resources,247,1,0,1,1
2019-03-22,topic-data-resources,478,2,2,1,0
2019-03-25,topic-data-resources,807,1,4,0,1
2019-03-26,topic-data-resources,282,1,1,1,1
2019-03-27,topic-data-resources,295,1,0,2,1
2019-04-02,topic-data-resources,214,1,1,2,1
2019-04-04,topic-data-resources,78,1,0,0,0
2019-04-04,topic-dynamic-data,645,16,0,0,0
2019-04-05,topic-dynamic-data,105,3,0,0,0
2019-04-06,topic-dynamic-data,35,1,0,0,0
2019-04-07,topic-dynamic-data,209,2,0,0,1
2019-04-04,topic-health,1650,25,2,8,0
2019-04-05,topic-health,61,1,2,0,0
2019-04-06,topic-health,691,1,0,1,0
2019-04-07,topic-health,203,0,1,1,1
2019-02-27,topic-historical-viz,3790,27,20,6,8
2019-02-28,topic-historical-viz,4361,17,16,4,4
2019-03-01,topic-historical-viz,5060,11,21,13,5
2019-03-02,topic-historical-viz,5411,5,22,6,3
2019-03-03,topic-historical-viz,3517,5,24,6,3
2019-03-04,topic-historical-viz,2433,6,9,8,2
2019-03-05,topic-historical-viz,15089,17,127,30,7
2019-03-06,topic-historical-viz,3251,4,15,13,3
2019-03-07,topic-historical-viz,11607,14,64,26,5
2019-03-08,topic-historical-viz,8836,5,34,13,2
2019-03-09,topic-historical-viz,7685,6,44,10,5
2019-03-10,topic-historical-viz,1862,3,8,7,1
2019-03-11,topic-historical-viz,6603,5,36,14,6
2019-03-12,topic-historical-viz,4711,7,35,12,2
2019-03-13,topic-historical-viz,4438,6,16,9,2
2019-03-14,topic-historical-viz,2946,5,19,11,3
2019-03-15,topic-historical-viz,8237,3,55,12,8
2019-03-16,topic-historical-viz,1905,2,8,1,1
2019-03-17,topic-historical-viz,5953,4,26,8,5
2019-03-18,topic-historical-viz,3183,3,24,6,5
2019-03-19,topic-historical-viz,1673,2,12,9,0
2019-03-20,topic-historical-viz,2577,3,20,16,0
2019-03-21,topic-historical-viz,6267,2,49,7,5
2019-03-22,topic-historical-viz,9859,10,76,15,6
2019-03-23,topic-historical-viz,2416,4,8,5,4
2019-03-24,topic-historical-viz,7160,4,52,17,2
2019-03-25,topic-historical-viz,4489,1,18,5,0
2019-03-26,topic-historical-viz,5887,2,31,7,2
2019-03-27,topic-historical-viz,11598,8,76,28,5
2019-03-28,topic-historical-viz,4160,5,14,9,2
2019-03-29,topic-historical-viz,3717,3,11,6,0
2019-03-30,topic-historical-viz,333,1,1,1,0
2019-03-31,topic-historical-viz,2481,6,12,8,2
2019-04-01,topic-historical-viz,3886,3,9,4,1
2019-04-02,topic-historical-viz,16930,4,53,21,3
2019-04-03,topic-historical-viz,13970,5,50,25,4
2019-04-04,topic-historical-viz,9816,13,41,14,8
2019-04-05,topic-historical-viz,16692,8,77,16,7
2019-04-06,topic-historical-viz,4736,3,25,4,1
2019-04-07,topic-historical-viz,3575,4,33,12,2
2019-03-20,topic-interactivity,854,21,0,0,0
2019-03-22,topic-interactivity,358,1,0,1,0
2019-03-23,topic-interactivity,371,0,1,1,0
2019-03-25,topic-interactivity,785,0,1,1,1
2019-03-26,topic-interactivity,2244,1,11,1,2
2019-03-27,topic-interactivity,406,0,1,0,0
2019-03-28,topic-interactivity,781,0,3,0,1
2019-04-04,topic-interactivity,82,1,0,0,0
2019-04-05,topic-interactivity,77,0,1,0,1
2019-04-06,topic-interactivity,975,1,0,0,0
2019-04-07,topic-interactivity,824,0,3,0,0
2019-03-20,topic-machine-learnin,873,22,0,0,0
2019-03-22,topic-machine-learnin,5250,4,8,1,4
2019-03-23,topic-machine-learnin,1025,0,4,0,0
2019-03-25,topic-machine-learnin,722,0,1,0,0
2019-03-26,topic-machine-learnin,204,2,1,4,0
2019-04-04,topic-machine-learnin,180,3,0,1,1
2019-04-05,topic-machine-learnin,110,0,2,0,0
2019-03-05,topic-mapping,2191,25,6,4,3
2019-03-06,topic-mapping,3845,8,3,9,1
2019-03-07,topic-mapping,305,1,1,1,0
2019-03-08,topic-mapping,2788,4,8,6,2
2019-03-11,topic-mapping,29,0,1,0,0
2019-03-12,topic-mapping,202,1,0,1,0
2019-03-13,topic-mapping,1771,1,4,4,3
2019-03-14,topic-mapping,2795,3,4,6,2
2019-03-15,topic-mapping,899,2,3,1,1
2019-03-16,topic-mapping,350,0,1,0,0
2019-03-17,topic-mapping,891,1,4,4,1
2019-03-18,topic-mapping,995,3,1,3,2
2019-03-19,topic-mapping,47,0,1,0,0
2019-03-20,topic-mapping,448,2,1,2,2
2019-03-21,topic-mapping,144,0,2,0,0
2019-03-22,topic-mapping,230,1,2,1,1
2019-03-23,topic-mapping,175,1,0,2,0
2019-03-24,topic-mapping,36,0,1,1,0
2019-03-25,topic-mapping,88,0,1,0,1
2019-03-27,topic-mapping,133,1,0,3,0
2019-03-28,topic-mapping,846,2,2,2,0
2019-03-29,topic-mapping,353,0,2,0,0
2019-03-30,topic-mapping,119,0,1,0,0
2019-03-31,topic-mapping,1055,3,3,1,1
2019-04-01,topic-mapping,1802,1,9,2,3
2019-04-02,topic-mapping,1392,3,5,5,1
2019-04-03,topic-mapping,487,0,2,1,1
2019-04-04,topic-mapping,1818,3,6,5,2
2019-04-05,topic-mapping,624,0,4,2,2
2019-04-07,topic-mapping,188,0,1,0,0
2019-03-08,topic-networks,4435,30,15,7,6
2019-03-10,topic-networks,687,1,0,1,1
2019-03-11,topic-networks,641,3,1,0,0
2019-03-12,topic-networks,798,4,0,0,0
2019-03-13,topic-networks,307,1,2,1,1
2019-03-14,topic-networks,2506,3,7,1,2
2019-03-15,topic-networks,631,0,3,0,0
2019-03-17,topic-networks,54,0,1,0,0
2019-03-19,topic-networks,548,1,2,0,0
2019-03-20,topic-networks,147,0,2,0,0
2019-03-21,topic-networks,168,0,1,0,0
2019-03-22,topic-networks,257,0,2,0,0
2019-03-24,topic-networks,234,1,2,1,0
2019-03-25,topic-networks,348,2,3,0,1
2019-03-26,topic-networks,581,1,6,0,0
2019-03-28,topic-networks,431,0,2,0,0
2019-03-29,topic-networks,1534,1,6,0,1
2019-03-30,topic-networks,845,2,1,0,0
2019-03-31,topic-networks,655,0,1,0,0
2019-04-01,topic-networks,257,0,1,0,0
2019-04-02,topic-networks,54,0,1,0,0
2019-04-03,topic-networks,98,0,1,0,0
2019-04-04,topic-networks,1431,2,7,1,0
2019-03-20,topic-research,965,22,0,1,0
2019-03-21,topic-research,837,5,0,3,0
2019-03-22,topic-research,552,1,0,1,0
2019-03-25,topic-research,819,1,0,1,1
2019-03-26,topic-research,7940,4,16,10,1
2019-03-27,topic-research,8231,4,17,10,2
2019-03-28,topic-research,6172,7,10,10,2
2019-03-29,topic-research,358,0,1,0,0
2019-03-30,topic-research,167,2,1,2,0
2019-03-31,topic-research,335,2,5,1,2
2019-04-01,topic-research,688,0,5,0,0
2019-04-02,topic-research,3459,1,25,1,4
2019-04-03,topic-research,803,1,2,4,1
2019-04-04,topic-research,622,1,4,3,0
2019-03-05,topic-sports-viz,1142,22,0,2,1
2019-03-06,topic-sports-viz,1194,8,6,6,2
2019-03-07,topic-sports-viz,5953,6,24,16,4
2019-03-08,topic-sports-viz,2515,3,8,1,3
2019-03-10,topic-sports-viz,931,1,2,1,2
2019-03-11,topic-sports-viz,139,0,1,0,0
2019-03-12,topic-sports-viz,154,1,2,2,0
2019-03-14,topic-sports-viz,85,0,1,0,0
2019-03-17,topic-sports-viz,25,1,0,0,0
2019-03-18,topic-sports-viz,1402,1,5,0,1
2019-03-19,topic-sports-viz,2208,3,10,3,4
2019-03-20,topic-sports-viz,802,1,3,2,2
2019-03-21,topic-sports-viz,622,3,1,7,1
2019-03-24,topic-sports-viz,164,1,0,0,0
2019-03-26,topic-sports-viz,158,0,1,0,0
2019-03-27,topic-sports-viz,930,1,5,1,2
2019-03-28,topic-sports-viz,277,0,4,1,1
2019-03-29,topic-sports-viz,196,1,3,2,0
2019-04-03,topic-sports-viz,1621,1,4,1,0
2019-04-04,topic-sports-viz,76,1,0,0,0
2019-04-06,topic-sports-viz,124,1,0,1,1
2019-04-04,topic-storytelling,990,22,0,2,0
2019-04-07,topic-storytelling,30,1,0,1,0
2019-03-06,topic-teaching,9384,68,5,29,2
2019-03-07,topic-teaching,4662,5,21,14,2
2019-03-08,topic-teaching,9276,7,29,12,6
2019-03-09,topic-teaching,640,1,2,2,0
2019-03-11,topic-teaching,1490,2,3,1,0
2019-03-12,topic-teaching,533,1,0,1,0
2019-03-13,topic-teaching,3487,1,12,6,1
2019-03-14,topic-teaching,4830,10,19,12,1
2019-03-15,topic-teaching,2583,1,9,6,2
2019-03-17,topic-teaching,1453,0,7,1,0
2019-03-18,topic-teaching,3279,2,6,0,1
2019-03-19,topic-teaching,8157,1,22,9,2
2019-03-20,topic-teaching,718,1,1,1,0
2019-03-21,topic-teaching,1495,1,3,3,1
2019-03-22,topic-teaching,3423,2,9,8,1
2019-03-23,topic-teaching,173,0,1,0,0
2019-03-26,topic-teaching,317,0,2,0,0
2019-03-27,topic-teaching,601,1,7,0,0
2019-03-28,topic-teaching,267,2,3,1,0
2019-03-29,topic-teaching,232,0,1,0,0
2019-04-01,topic-teaching,70,2,0,0,0
2019-04-02,topic-teaching,172,0,1,0,0
2019-04-04,topic-teaching,322,1,4,1,1
2019-04-05,topic-teaching,187,0,3,0,0
2019-04-04,topic-temporal,635,14,0,1,0
2019-04-05,topic-temporal,1924,5,6,3,5
2019-04-06,topic-temporal,70,2,0,0,0
2019-04-07,topic-temporal,70,2,0,0,0
2019-02-28,topic-terminology,473,11,0,0,0
2019-03-01,topic-terminology,1446,12,6,4,1
2019-03-02,topic-terminology,370,1,1,3,0
2019-03-03,topic-terminology,3824,5,27,7,0
2019-03-04,topic-terminology,972,1,7,4,1
2019-03-05,topic-terminology,854,0,5,1,0
2019-03-06,topic-terminology,820,1,7,4,1
2019-03-07,topic-terminology,765,1,11,4,0
2019-03-09,topic-terminology,155,0,4,2,0
2019-03-11,topic-terminology,180,0,3,0,0
2019-03-13,topic-terminology,247,1,1,1,1
2019-03-14,topic-terminology,4437,10,13,5,2
2019-03-15,topic-terminology,2893,1,14,5,2
2019-04-04,topic-terminology,78,1,0,0,0
2019-03-08,topic-text-analytics,9387,33,24,14,4
2019-03-09,topic-text-analytics,37,0,1,0,0
2019-03-10,topic-text-analytics,3396,1,13,4,1
2019-03-11,topic-text-analytics,188,2,2,1,2
2019-03-15,topic-text-analytics,83,2,0,1,0
2019-03-27,topic-text-analytics,289,1,1,0,1
2019-03-29,topic-text-analytics,65,1,0,1,1
2019-04-04,topic-text-analytics,84,1,0,0,0
2019-04-04,topic-weather-climate,2014,26,3,4,2
2019-04-05,topic-weather-climate,1645,3,10,4,2
2019-04-04,topic-xenographics,1626,26,1,2,0
2019-04-05,topic-xenographics,780,3,3,3,1
2019-04-06,topic-xenographics,68,0,1,0,0
